=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Cronos,"$391,052,427",2.30%,5.55%,🚀 加速流入
Hyperliquid L1,"$1,458,783,385",1.86%,-1.14%,🟢 穩健增長
Bitcoin,"$7,174,936,347",1.43%,6.64%,🚀 加速流入
BSC,"$6,829,498,213",1.41%,4.72%,🚀 加速流入
Solana,"$8,804,534,226",1.38%,3.66%,🚀 加速流入
Base,"$4,749,489,095",1.23%,6.92%,🚀 加速流入
Arbitrum,"$3,080,948,530",1.16%,8.57%,🟢 穩健增長
OP Mainnet,"$307,684,918",0.96%,4.61%,🚀 加速流入
Ethereum,"$73,180,646,801",0.90%,6.34%,🟢 穩健增長
Sui,"$983,691,749",0.76%,6.61%,🟢 穩健增長
Vaulta,"$388,568,041",0.67%,2.62%,🚀 加速流入
Avalanche,"$1,331,015,130",0.41%,4.03%,🟢 穩健增長
Mantle,"$336,813,813",0.23%,0.54%,🚀 加速流入
Tron,"$4,681,285,372",0.13%,6.71%,🟢 穩健增長
Aptos,"$442,082,993",-1.27%,0.59%,⚠️ 資金流出
Polygon,"$1,076,173,528",-2.20%,-7.70%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
cronos,PEPE,$0.000007,6.28%,"$27,210","$95,805",0.28,https://dexscreener.com/cronos/0xb90d6e09075168281d47da6f0665ff4fd8f0ff6f
cronos,VNO,$0.008478,2.39%,"$25,383","$292,632",0.09,https://dexscreener.com/cronos/0x34d1856ed8bbc20fa7b29776ad273fd8b22967be
cronos,FUL,$0.003259,4.04%,"$12,761","$279,542",0.05,https://dexscreener.com/cronos/0x6ae624714f221964aff3ab8d8276a7ec142a759f
cronos,FER,$0.000392,0.69%,"$11,636","$95,798",0.12,https://dexscreener.com/cronos/0x72efd454bbfeca458e909b99faacbc116880b54d
cronos,CROID,$0.011020,9.02%,"$10,293","$141,243",0.07,https://dexscreener.com/cronos/0xc43e32f44423ae7562c33ed8ca8394969bfffb29
bsc,BULLA,$0.041690,-39.28%,"$16,735,716","$1,061,993",15.76,https://dexscreener.com/bsc/0x48bc32f212d539b23e1459e57dc27724aea6677a
bsc,HAPPY-SCI,$0.001297,1818.00%,"$6,765,390","$145,284",46.57,https://dexscreener.com/bsc/0x9cf746e45a0cbfbc39c928b66953d086b942f7fa
bsc,BROCCOLI,$0.027640,48.77%,"$6,624,998","$2,466,948",2.69,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,ARK,$19.530000,-1.42%,"$4,323,092","$85,996,990",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,币安人生,$0.131500,0.14%,"$3,801,879","$3,854,398",0.99,https://dexscreener.com/bsc/0x66f289de31eef70d52186729d2637ac978cfc56b
