=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,066,439,330",7.83%,17.60%,🔥 資金暴衝
OP Mainnet,"$312,700,597",3.99%,7.81%,🔥 資金暴衝
Aptos,"$452,231,348",2.53%,5.32%,🚀 加速流入
Solana,"$8,977,251,147",2.24%,7.91%,🚀 加速流入
Ethereum,"$74,521,865,206",2.09%,9.27%,🚀 加速流入
BSC,"$6,912,603,722",1.40%,6.13%,🚀 加速流入
Vaulta,"$393,537,688",1.35%,-6.20%,🟢 穩健增長
Bitcoin,"$7,210,223,974",1.19%,7.98%,🚀 加速流入
Arbitrum,"$3,088,125,714",0.92%,9.46%,🟢 穩健增長
Base,"$4,840,250,624",0.78%,8.52%,🟢 穩健增長
Tron,"$4,727,544,211",0.68%,7.93%,🟢 穩健增長
Mantle,"$339,309,417",0.68%,0.46%,🚀 加速流入
Cronos,"$396,662,177",0.49%,7.58%,🟢 穩健增長
Avalanche,"$1,345,150,015",0.43%,7.08%,🟢 穩健增長
Hyperliquid L1,"$1,462,274,132",-0.52%,-0.81%,⚠️ 資金流出
Polygon,"$1,067,108,623",-4.00%,-8.64%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,US,$0.006676,2.64%,"$347,643","$649,494",0.54,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,JACKSON,$0.057430,33.77%,"$242,402","$4,657,060",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008285,8.11%,"$92,288","$108,175",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
sui,USDB,$0.999800,-0.02%,"$80,747","$376,202",0.21,https://dexscreener.com/sui/0x6dc4048ae8eb73f24b6bc2381c0e6de9e7b06b01d96cee1eac2decd2400ffa46
optimism,OVER,$0.276600,-1.38%,"$16,846","$993,039",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.360000,-1.23%,"$10,671","$348,432",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052420,1.30%,"$1,424","$453,814",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000402,2.70%,"$1,142","$166,911",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,JLP,$4.800000,1.58%,"$8,862,732","$2,810,844",3.15,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002072,2067.00%,"$6,780,152","$167,569",40.46,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
