=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Tron,"$4,688,004,840",3.38%,7.52%,🔥 資金暴衝
Sui,"$989,080,746",2.65%,6.84%,🚀 加速流入
Base,"$4,726,871,630",1.75%,6.78%,🚀 加速流入
Solana,"$8,733,454,466",1.47%,4.41%,🚀 加速流入
Avalanche,"$1,329,838,400",1.41%,4.85%,🚀 加速流入
Aptos,"$448,808,379",1.09%,2.13%,🚀 加速流入
Ethereum,"$72,681,344,644",0.62%,5.99%,🟢 穩健增長
Polygon,"$1,093,406,066",-0.44%,-6.35%,🚀 加速流入

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
base,BASE,$0.000002,-7.50%,"$11,188","$74,960",0.15,https://dexscreener.com/base/0x5554419ccd0293d9383901f461c7c3e0c66e925f
aptos,AMI,$0.010330,-0.01%,"$7,823","$142,568",0.05,https://dexscreener.com/aptos/0x4a34ac7b916cc941530a99dfc0de27843bf20eba5e580f5c93d0a21e3bcb3464
aptos,DOODOO,$0.085410,1.94%,$22,"$160,008",0.00,https://dexscreener.com/aptos/liquidswapv0p5-2297
aptos,GUI,$0.000001,0.31%,"$3,504","$75,240",0.05,https://dexscreener.com/aptos/pcs-1137
aptos,XBTC,$91386.240000,1.65%,"$13,578","$193,669",0.07,https://dexscreener.com/aptos/0xd8a280a4e308f72547a02a48b2ec0cb661dc72ed10565f116a6c7059ada9aa6e-0xa-0x81214a80d82035a190fcb76b6ff3c0145161c3a9f33d137f2bbaee4cfec8a387
aptos,THAPT,$1.880000,0.67%,"$12,112","$3,723,655",0.00,https://dexscreener.com/aptos/thala-1010
ethereum,ETHEREUM,$0.000151,1.80%,$148,"$104,533",0.00,https://dexscreener.com/ethereum/0x5f538e4a8d8c833aa9e7a926a99a3b415bb029ef
polygon,BET,$0.000293,3.71%,"$11,806","$285,312",0.04,https://dexscreener.com/polygon/0xda67d7c01c4c8f757c105c0890d94ac489952cd5
polygon,TTAJ,$0.002704,0.85%,"$7,559","$136,358",0.06,https://dexscreener.com/polygon/0xa6a2d598365cd758ba0a72cd95b7f8805248a5d5
polygon,SAND,$0.120400,1.91%,"$2,856","$332,578",0.01,https://dexscreener.com/polygon/0x369582d2010b6ed950b571f4101e3bb9b554876f
polygon,BLOB,$0.000000,5.72%,$2,"$1,185,549",0.00,https://dexscreener.com/polygon/0xf73e9a134970c5f10cc7e84f13d60700e587322e
polygon,ONLIVE,$0.000229,1.05%,"$1,473","$56,607",0.03,https://dexscreener.com/polygon/0xb2c60f199f2f0ae7ef7b7923fffa24b181e7e187
