=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,066,439,330",7.83%,17.60%,🔥 資金暴衝
OP Mainnet,"$312,953,951",4.08%,7.90%,🔥 資金暴衝
Mantle,"$347,745,518",3.18%,2.96%,🔥 資金暴衝
Aptos,"$452,322,956",2.55%,5.34%,🚀 加速流入
Solana,"$8,999,061,932",2.49%,8.17%,🚀 加速流入
Ethereum,"$74,725,068,551",2.37%,9.57%,🚀 加速流入
Bitcoin,"$7,236,072,123",1.56%,8.37%,🚀 加速流入
BSC,"$6,922,239,801",1.54%,6.28%,🚀 加速流入
Vaulta,"$394,036,644",1.48%,-6.08%,🟢 穩健增長
Arbitrum,"$3,095,861,996",1.17%,9.74%,🟢 穩健增長
Avalanche,"$1,350,020,465",0.79%,7.47%,🟢 穩健增長
Base,"$4,839,685,272",0.77%,8.51%,🟢 穩健增長
Tron,"$4,721,367,425",0.55%,7.79%,🟢 穩健增長
Cronos,"$396,662,177",0.49%,7.58%,🟢 穩健增長
Hyperliquid L1,"$1,468,424,049",-0.10%,-0.39%,⚠️ 資金流出
Polygon,"$1,068,116,125",-3.91%,-8.55%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,JACKSON,$0.057650,36.31%,"$243,458","$4,675,837",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008390,9.18%,"$93,471","$109,312",0.86,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
optimism,USD₮0,$1.000270,0.03%,"$329,282","$459,173",0.72,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.277000,-0.81%,"$16,391","$994,551",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.090000,-0.72%,"$10,794","$348,183",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052410,1.30%,"$1,484","$453,670",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000402,3.30%,"$1,142","$166,921",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,TRUMP,$5.650000,2.23%,"$72,379,269","$159,008,015",0.46,https://dexscreener.com/solana/9d9mb8kooffad3sctgztkxqypkshx6ezhbkio89ixyy2
solana,JLP,$4.810000,2.08%,"$8,778,181","$2,810,365",3.12,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
solana,KASH,$0.002367,2739.00%,"$6,925,612","$179,530",38.58,https://dexscreener.com/solana/xywwfyn3ckul1tewal7unet62c1wyrwihwryzpeepmy
solana,FARTCOIN ,$0.459900,21.65%,"$6,331,913","$14,142,059",0.45,https://dexscreener.com/solana/bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw
solana,RALPH,$0.002915,297.00%,"$4,031,207","$153,671",26.23,https://dexscreener.com/solana/dbyk8geixwneh2zfw2lo1svuq1wkhaeqyndsrakq6bhf
ethereum,USDS,$0.999900,-0.01%,"$44,314,588","$99,993,891",0.44,https://dexscreener.com/ethereum/0xa632d59b9b804a956bfaa9b48af3a1b74808fc1f
ethereum,FRXUSD,$1.000058,-0.02%,"$4,083,281","$40,086,443",0.10,https://dexscreener.com/ethereum/0x13e12bb0e6a2f1a3d6901a59a9d585e89a6243e1
ethereum,YEE,$0.024280,-13.51%,"$1,505,122","$1,134,568",1.33,https://dexscreener.com/ethereum/0xbc7ce7b6b5437d7d715fbb1cc7b4ec12399c5516
ethereum,ETH+,$3457.750000,2.85%,"$1,340,358","$20,253,995",0.07,https://dexscreener.com/ethereum/0x2c683fad51da2cd17793219cc86439c1875c353e
ethereum,MANYU,$0.000000,57.00%,"$993,003","$1,106,927",0.90,https://dexscreener.com/ethereum/0xc4704f13d5e08b27b039d53873e813dd2fad99d9
bsc,RIVER,$21.750000,25.39%,"$8,917,117","$150,172",59.38,https://dexscreener.com/bsc/0xb249b6e4ac29301f680963a45fac7d09779ef980
bsc,ARK,$19.330000,-1.63%,"$3,958,730","$85,559,864",0.05,https://dexscreener.com/bsc/0xcaaf3c41a40103a23eeaa4bba468af3cf5b0e0d8
bsc,BROCCOLI,$0.040530,54.67%,"$2,988,379","$2,977,108",1.00,https://dexscreener.com/bsc/0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b
bsc,哈基米,$0.040660,-6.98%,"$2,879,229","$1,804,744",1.60,https://dexscreener.com/bsc/0xc33bacff9141da689875e6381c1932348ab4c5cb
bsc,雪球,$0.020380,146.00%,"$2,299,258","$563,293",4.08,https://dexscreener.com/bsc/0x8892138836eb5ec0f9c9e810efd19d542cf566b8
arbitrum,PENDLE,$2.320000,6.64%,"$285,768","$445,602",0.64,https://dexscreener.com/arbitrum/0xe461f84c3fe6bcdd1162eb0ef4284f3bb6e4cad3
arbitrum,GNS,$1.150000,0.70%,"$154,107","$644,443",0.24,https://dexscreener.com/arbitrum/0x9b6ff025aee245d314c09f57b72f0de6e231c3a6
arbitrum,MAFLD,$0.003124,520.00%,"$45,725","$150,189",0.30,https://dexscreener.com/arbitrum/0x4e1837bb647c982b7b3e698d677bb0c47a01615a
arbitrum,ZRO,$1.450000,5.57%,"$14,411","$60,684",0.24,https://dexscreener.com/arbitrum/0x105ba85d9047daf3f9fe941d8188d4b9a6900388
arbitrum,EPENDLE,$1.340000,7.72%,"$11,680","$563,113",0.02,https://dexscreener.com/arbitrum/0x6ad17e1133af65a8e3a9074e72004faef1e2341e
avalanche,COQ,$0.000000,-0.34%,"$178,077","$977,580",0.18,https://dexscreener.com/avalanche/0x41ab86eecbd110a82ca602d032a461f453066f1e
avalanche,ARENA,$0.002329,8.03%,"$150,400","$337,882",0.45,https://dexscreener.com/avalanche/0xa78c3e56afb8d34a536825e2497255e78b388619
avalanche,GUN,$0.016530,17.32%,"$76,219","$349,796",0.22,https://dexscreener.com/avalanche/0xbd26e663281fb35d4757219eb180f02e8a065c09
avalanche,JOE,$0.072750,2.63%,"$26,971","$808,911",0.03,https://dexscreener.com/avalanche/0x454e67025631c065d3cfad6d71e6892f74487a15
avalanche,NOCHILL,$0.000651,-0.41%,"$9,005","$133,017",0.07,https://dexscreener.com/avalanche/0x2d38bde22e044ea59688ca7cdd4f0b5307cc519a
base,CBBTC,$93725.600000,1.17%,"$78,798,596","$28,333,445",2.78,https://dexscreener.com/base/0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1
base,REI,$0.022260,64.27%,"$1,284,598","$2,398,296",0.54,https://dexscreener.com/base/0x34e3334e845d101205394e0bd8821fddc7cd5559
base,RUSSELL,$0.008364,73.61%,"$1,268,127","$757,448",1.67,https://dexscreener.com/base/0xea8b7ed6170e0ea3703dde6b496b065a8ececd7b
