=== 公鏈資金流向 ===
公鏈,TVL,24H變動,7D變動,狀態
Sui,"$1,064,245,746",7.61%,17.35%,🔥 資金暴衝
OP Mainnet,"$311,968,778",3.75%,7.56%,🔥 資金暴衝
Aptos,"$452,520,875",2.60%,5.38%,🚀 加速流入
Solana,"$8,974,360,507",2.20%,7.88%,🚀 加速流入
Ethereum,"$74,452,983,628",2.00%,9.17%,🚀 加速流入
BSC,"$6,911,064,778",1.38%,6.10%,🚀 加速流入
Vaulta,"$393,625,024",1.37%,-6.18%,🟢 穩健增長
Bitcoin,"$7,207,328,882",1.15%,7.94%,🚀 加速流入
Arbitrum,"$3,083,836,925",0.78%,9.31%,🟢 穩健增長
Base,"$4,837,412,206",0.73%,8.46%,🟢 穩健增長
Tron,"$4,727,166,935",0.67%,7.92%,🟢 穩健增長
Mantle,"$339,194,308",0.65%,0.43%,🚀 加速流入
Cronos,"$396,251,967",0.39%,7.47%,🟢 穩健增長
Avalanche,"$1,340,597,099",0.09%,6.72%,🟢 穩健增長
Hyperliquid L1,"$1,461,360,995",-0.58%,-0.87%,⚠️ 資金流出
Polygon,"$1,066,701,456",-4.03%,-8.67%,⚠️ 資金流出

=== 熱門代幣 ===
鏈,代幣,價格,24H漲跌,交易量,流動性,買壓係數,連結
sui,WAL,$0.148400,9.85%,"$466,559","$154,819",3.01,https://dexscreener.com/sui/0xf4238fa592c9ed7f148fd091cb2c4147cb15ad81b797115ce42971923ebf6e4c
sui,US,$0.006580,0.58%,"$343,165","$643,866",0.53,https://dexscreener.com/sui/0x968f1f73b8e766e2ce0198c807d0c956aa384bfe64c98a18e56bfb970a13e7bb
sui,JACKSON,$0.057520,34.45%,"$239,433","$4,663,972",0.05,https://dexscreener.com/sui/0xdcd97bb5d843844a6debf28b774488f20d46bc645ac0afbb6f1ebb8d38a9e19b
sui,IKA,$0.008121,5.48%,"$90,971","$107,025",0.85,https://dexscreener.com/sui/0xc23e7e8a74f0b18af4dfb7c3280e2a56916ec4d41e14416f85184a8aab6b7789
optimism,USD₮0,$1.000430,0.05%,"$339,769","$395,641",0.86,https://dexscreener.com/optimism/0xf7f575f2c0f6c99fa9efe1bde9e11fa10be4fef9
optimism,OVER,$0.276600,-1.38%,"$16,846","$993,039",0.02,https://dexscreener.com/optimism/0x1eaa860dca29a5124f665f7d80affed92e877681
optimism,MOOBIFI,$187.053000,-1.28%,"$10,668","$347,860",0.03,https://dexscreener.com/optimism/0x6ed6df1c23c51cb7cc67a348cc8d9e6108ea3bfe
optimism,TAROT,$0.052380,1.23%,"$1,412","$453,526",0.00,https://dexscreener.com/optimism/0x707ba27189e8bf89e43b2198e6b88aac4720124f
optimism,OPP,$0.000401,2.57%,"$1,144","$166,653",0.01,https://dexscreener.com/optimism/0x62191c893df8d26ac295ba1274a00975dc07190c
solana,JLP,$4.810000,1.36%,"$8,937,808","$2,816,304",3.17,https://dexscreener.com/solana/6nuivmsnjsi4afsmseiaezsav9n4n1zrd4jenuwnrvyb
